sector,label,supply_shock,demand_shock,leontief_mult,direct_supply_effect_pct,indirect_supply_effect_pct,total_supply_effect_pct,demand_effect_pct,amplification_ratio
CONST,Construction,-0.1225,0.27125,2.754469442982221,-0.5503623188405797,-0.9655938709746353,-1.515956189815215,1.2487143842247717,2.754469442982221
REALE,Real estate,-0.02500000000000001,0.27249999999999996,4.290231322660027,-0.3331991411701557,-1.0963022509614666,-1.4295013921316224,2.8158493082753555,4.290231322660027
OILGAS,Oil and gas extraction,-0.31,0.63,4.073608277736093,-0.3111647879763822,-0.9563986680642046,-1.2675634560405868,0.0,4.073608277736093
CHEM,Chemical products,-0.21000000000000002,0.28714285714285714,3.355754224548901,-0.3235104669887279,-0.7621111492944835,-1.0856216162832115,0.33595668515662164,3.355754224548901
WHOLE,Wholesale trade,-0.05833333333333333,0.20875,2.934838228616692,-0.33284129540168184,-0.6439940624054752,-0.976835357807157,1.2489626507070613,2.934838228616692
RETAIL,Retail trade,-0.07,0.16999999999999998,2.3472812358180644,-0.37686527106816964,-0.5077435081416335,-0.8846087792098032,0.9415764353337278,2.3472812358180644
FOOD,"Food, beverage, and tobacco products",-0.17833333333333334,0.24833333333333335,2.640289856480867,-0.24601001968151728,-0.4035277398762512,-0.6495377595577685,0.654387440087718,2.640289856480867
PETRO,Petroleum and coal products,-0.28,0.52,3.861396497740152,-0.1563070316693505,-0.4472563929908385,-0.6035634246601891,0.9678848240873662,3.861396497740152
CREDIT,"Federal Reserve banks, credit intermediation",-0.07500000000000001,0.18333333333333335,2.1553946722601105,-0.24677938808373595,-0.2851275902155587,-0.5319069782992947,0.5980756319294955,2.1553946722601105
FOODSVC,Food services and drinking places,-0.097,0.36833333333333335,2.1475370121686956,-0.24002683843263556,-0.2754396810152848,-0.5154665194479203,1.3293620771330854,2.1475370121686956
UTIL,Utilities,-0.095,0.22999999999999998,3.311291114607759,-0.13972088030059043,-0.322935629163929,-0.46265650946451936,0.0,3.311291114607759
INSURE,Insurance carriers and related activities,-0.09999999999999999,0.2,1.9481963065699637,-0.2200751476113795,-0.20867444213294958,-0.42874958974432903,0.5405272480329497,1.9481963065699637
FARM,Farms,-0.19999999999999998,0.25,2.7769943383559443,-0.13097155126140633,-0.2327357050772144,-0.3637072563386207,0.0,2.7769943383559443
MISCPROF,"Misc. professional, scientific, and technical svcs",-0.04666666666666667,0.19111111111111112,2.2326155941979007,-0.15380211129003402,-0.18957888079665694,-0.34338099208669093,0.6515361062433336,2.2326155941979007
